Período;Região;Entidade;Localização Geográfica;Nº Consultas Médicas Presenciais (QT);Nº de Consultas Médicas Não Presenciais ou Inespecíficas (Qt);Nº de Consultas Médicas ao Domicílio (Qt)
2019-05;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;41874;14045.0;290.0
2019-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;14542;8070.0;45.0
2019-05;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;57295;22388.0;666.0
2019-05;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;46688;16606.0;316.0
2019-05;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;30957;12484.0;209.0
2019-05;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;25172;9647.0;332.0
2019-05;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;24918;12061.0;337.0
2019-05;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;41835;23421.0;466.0
2019-06;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;13306;5795.0;82.0
2019-06;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;21091;11348.0;196.0
2019-06;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;58314;27569.0;412.0
2019-06;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;19016;13144.0;148.0
2019-06;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;33449;8250.0;177.0
2019-06;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;25501;9496.0;291.0
2019-06;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;35941;13777.0;216.0
2019-06;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;41528;23187.0;657.0
2019-06;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;17509;9723.0;203.0
2019-06;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;25537;13236.0;320.0
2019-07;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;4667;3657.0;6.0
2019-07;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;28206;13014.0;210.0
2019-07;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;31907;12784.0;199.0
2019-07;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;23694;12617.0;251.0
2019-07;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;19021;13530.0;221.0
2019-07;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;24508;10772.0;296.0
2019-07;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;19858;12922.0;292.0
2019-07;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;37375;23592.0;371.0
2019-07;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;27889;16033.0;305.0
2019-08;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;26907;9246.0;301.0
2019-08;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;44115;12461.0;323.0
2019-08;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;45363;19742.0;386.0
2019-08;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;13256;5897.0;175.0
2019-08;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;17562;8056.0;173.0
2019-08;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;27027;13627.0;326.0
2019-08;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;27286;13421.0;228.0
2019-08;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;26016;18959.0;285.0
2019-08;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;29165;16665.0;231.0
2019-08;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;58170;28951.0;378.0
2019-08;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;10770;6237.0;42.0
2019-08;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;19581;13388.0;124.0
2019-09;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;19750;6504.0;99.0
2019-09;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;32327;10931.0;160.0
2019-09;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;46570;26657.0;572.0
2019-09;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;22316;11766.0;253.0
2019-09;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;13942;5539.0;174.0
2019-09;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;19169;10815.0;253.0
2019-09;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;30318;17558.0;311.0
2019-09;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;32530;14025.0;329.0
2019-09;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;32438;19378.0;359.0
2019-09;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;49985;20054.0;560.0
2019-10;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;23458;11294.0;157.0
2019-10;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;47300;17620.0;317.0
2019-10;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;21061;13929.0;313.0
2019-10;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;35744;23548.0;356.0
2019-10;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;35936;20580.0;379.0
2019-10;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;26875;13640.0;338.0
2019-10;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;12708;4891.0;192.0
2019-10;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;26363;17065.0;204.0
2019-11;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;35118;11230.0;200.0
2019-11;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;35126;12902.0;247.0
2019-11;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;35148;14241.0;276.0
2019-11;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;39425;11098.0;318.0
2019-11;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;29224;11402.0;180.0
2019-11;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;23203;11541.0;286.0
2019-11;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;18619;11213.0;268.0
2019-11;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;20862;10805.0;336.0
2019-11;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;31392;17771.0;395.0
2019-11;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;33053;14436.0;399.0
2019-11;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;35446;18589.0;317.0
2019-11;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;52482;20900.0;665.0
2019-12;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;24289;11015.0;238.0
2019-12;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;29181;10065.0;356.0
2019-12;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;29456;11771.0;199.0
2019-12;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;45703;12392.0;237.0
2019-12;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;48762;19395.0;524.0
2019-12;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;19222;9622.0;222.0
2019-12;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;25457;14405.0;333.0
2019-12;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;17740;10736.0;305.0
2019-12;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;33655;19037.0;345.0
2019-12;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;22476;12736.0;274.0
2019-12;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;28410;12783.0;261.0
2019-12;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;21403;10563.0;200.0
2020-01;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;38646;14924.0;241.0
2020-01;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;54947;18026.0;435.0
2020-01;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;47744;17375.0;356.0
2020-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;19635;12599.0;277.0
2020-01;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;16547;6377.0;244.0
2020-01;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;28704;16100.0;388.0
2020-01;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;37751;20152.0;363.0
2020-01;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;34739;19533.0;351.0
2020-01;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;37886;21680.0;404.0
2020-01;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;14564;7663.0;38.0
2020-02;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;37925;10283.0;362.0
2020-02;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;32982;12049.0;186.0
2020-02;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;28965;10715.0;161.0
2020-02;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;53589;20248.0;533.0
2020-02;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;31030;13481.0;311.0
2020-02;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;18112;10785.0;272.0
2020-02;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;14733;4900.0;195.0
2020-02;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;20032;11576.0;321.0
2020-02;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;37238;20969.0;413.0
2020-02;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;37510;12018.0;266.0
2020-02;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;27541;7801.0;172.0
2020-02;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;11441;4048.0;167.0
2020-02;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;13009;6313.0;45.0
2020-02;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;22164;8915.0;166.0
2020-03;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;17171;11362.0;70.0
2020-03;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;18251;21812.0;125.0
2020-03;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;22988;17878.0;161.0
2020-03;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;19888;23812.0;208.0
2020-03;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;24168;18490.0;127.0
2020-03;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;19543;26779.0;189.0
2020-03;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;19978;22543.0;193.0
2020-03;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;34388;37130.0;282.0
2020-04;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;4420;11315.0;27.0
2020-04;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;16068;27967.0;210.0
2020-04;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;2454;13743.0;32.0
2020-04;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;5750;21830.0;49.0
2020-04;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;9560;25115.0;19.0
2020-04;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;6576;35287.0;125.0
2020-04;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;4444;23014.0;22.0
2020-04;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;4597;38485.0;85.0
2020-04;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;4002;18196.0;52.0
2020-04;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;3018;14101.0;201.0
2020-04;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;4933;19524.0;115.0
2020-04;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;5697;34395.0;40.0
2020-04;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;9799;29349.0;526.0
2020-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;3711;13562.0;38.0
2020-05;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;17885;23465.0;94.0
2020-05;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;14437;26115.0;68.0
2020-05;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;7861;17771.0;133.0
2020-05;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;2720;21719.0;29.0
2020-05;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;12073;28294.0;77.0
2020-05;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;11646;31649.0;123.0
2020-05;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;9234;32879.0;49.0
2020-06;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;14396;18938.0;158.0
2020-06;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;2996;4769.0;14.0
2020-06;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;12970;15053.0;12.0
2020-06;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;10918;30738.0;50.0
2020-06;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;19400;25879.0;160.0
2020-06;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;21602;46346.0;107.0
2020-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;7111;14852.0;109.0
2020-06;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;11160;28430.0;230.0
2020-07;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;18990;15103.0;168.0
2020-07;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;21318;13921.0;131.0
2020-07;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;3776;4887.0;16.0
2020-07;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;20466;30740.0;197.0
2020-07;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;16587;38560.0;296.0
2020-07;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;11628;19798.0;171.0
2020-07;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;8455;13099.0;493.0
2020-07;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;12193;37805.0;172.0
2020-07;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;10734;35149.0;253.0
2020-07;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;16181;37138.0;280.0
2020-07;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;13841;34890.0;231.0
2020-08;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;18588;30216.0;192.0
2020-08;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;9802;8507.0;57.0
2020-08;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;17235;14181.0;122.0
2020-08;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;20753;12183.0;150.0
2020-08;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;30571;64804.0;396.0
2020-08;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;7414;10281.0;60.0
2020-08;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;3444;4724.0;6.0
2020-08;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;15684;25597.0;125.0
2020-08;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;22863;37477.0;176.0
2020-08;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;17572;41395.0;161.0
2020-08;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;14504;31173.0;190.0
2020-08;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;13186;27547.0;213.0
2020-08;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;16365;32324.0;252.0
2020-08;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;12576;32144.0;160.0
2020-09;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;20046;16130.0;125.0
2020-09;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;30907;27321.0;161.0
2020-09;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;23311;13542.0;131.0
2020-09;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;41867;81144.0;348.0
2020-09;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;21519;32828.0;173.0
2020-09;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;20571;72916.0;279.0
2020-09;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;8847;13032.0;298.0
2020-09;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;12913;26556.0;261.0
2020-09;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;16372;45472.0;241.0
2020-09;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;14215;35972.0;237.0
2020-10;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;31974;31278.0;285.0
2020-10;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25138;14907.0;127.0
2020-10;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;33481;56651.0;221.0
2020-10;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;16609;36494.0;83.0
2020-10;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;24113;44166.0;190.0
2020-11;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;18878;43331.0;545.0
2020-11;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;34604;33131.0;248.0
2020-11;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;33222;53637.0;223.0
2020-11;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;25172;32729.0;128.0
2020-11;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;34023;25643.0;164.0
2020-11;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;29169;32890.0;110.0
2020-11;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;26653;37826.0;88.0
2020-11;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;23212;37599.0;167.0
2020-11;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;32784;39277.0;169.0
2020-11;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;16567;31463.0;54.0
2020-11;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;25051;60280.0;298.0
2020-11;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;13101;28887.0;198.0
2020-11;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;14925;53943.0;155.0
2020-11;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;22522;40463.0;186.0
2020-12;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;16000;41556.0;808.0
2020-12;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;15408;19677.0;250.0
2020-12;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;7917;6590.0;105.0
2020-12;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;34990;73617.0;304.0
2020-12;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;29521;52726.0;272.0
2020-12;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;14270;21516.0;59.0
2020-12;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;12493;25737.0;41.0
2020-12;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;14723;38783.0;162.0
2020-12;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;11116;25285.0;141.0
2020-12;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;8788;17741.0;213.0
2020-12;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;12786;40826.0;143.0
2020-12;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;14061;24595.0;115.0
2020-12;Região de Saúde Norte;ACES Grande Porto I - Santo Tirso e Trofa;41.3469246,-8.4822648;9530;29312.0;229.0
2021-01;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;8491;19066.0;42.0
2021-01;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;14958;29654.0;96.0
2021-01;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;28874;62707.0;215.0
2021-01;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;29178;37088.0;149.0
2021-01;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;24860;48135.0;107.0
2021-01;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;15367;29444.0;101.0
2021-01;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;7949;25426.0;137.0
2021-01;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;11269;52441.0;182.0
2021-01;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;12215;37084.0;233.0
2021-01;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;18059;35966.0;193.0
2021-01;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;16600;42586.0;239.0
2021-01;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;10868;47363.0;178.0
2021-02;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;15979;41000.0;694.0
2021-02;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;7375;11472.0;24.0
2021-02;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;3602;6078.0;2.0
2021-02;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;27305;56597.0;243.0
2021-02;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;11621;33873.0;85.0
2021-02;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;14784;49419.0;212.0
2021-02;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;12779;24742.0;254.0
2021-02;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;10739;25786.0;204.0
2021-02;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;13574;31891.0;262.0
2014-01;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;12269;4848.0;68.0
2014-01;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;48130;17862.0;259.0
2014-01;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;43575;8624.0;269.0
2014-01;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;38233;9402.0;255.0
2014-01;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;60807;25570.0;788.0
2014-01;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;32041;13365.0;413.0
2014-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;19674;12038.0;291.0
2014-01;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;17990;6723.0;262.0
2014-01;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;30635;15276.0;393.0
2014-01;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;28612;13018.0;464.0
2014-01;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;29243;14610.0;482.0
2014-01;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;35028;16967.0;587.0
2014-01;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;35282;12894.0;232.0
2014-02;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;25567;9341.0;136.0
2014-02;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;52023;16966.0;564.0
