Período;Região;Entidade;Localização Geográfica;Utentes Inscritos com Hipertensão Arterial, com pressão arterial inferior a 150/90 mmHg nos últimos 6 meses;Hipertensos < 65 Anos, com Pressão Arterial < 150/90
2016-11;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;10177;66.94954
2016-11;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;3893;51.89975
2016-11;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;11757;38.59436
2016-11;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;3746;31.08972
2016-11;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;950;27.07324
2016-12;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;8040;49.82956
2016-12;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;5724;43.03759
2016-12;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;16458;50.11266
2016-12;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2516;38.43569
2016-12;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;7223;64.54294
2016-12;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;6996;72.53499
2016-12;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;11103;68.37665
2016-12;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;10206;78.13505
2016-12;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;7341;59.22072
2016-12;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;5305;56.19703
2016-12;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;10584;62.22954
2016-12;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;4366;35.30078
2016-12;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;5588;36.97479
2016-12;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;9721;60.35264
2016-12;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;1038;29.5054
2017-01;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;1094;6.84092
2017-01;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;343;11.05026
2017-01;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;1324;10.65422
2017-01;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;2836;9.89118
2017-01;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;702;11.45001
2017-01;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;1745;16.52619
2017-01;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;2332;16.68814
2017-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;1548;16.94581
2017-01;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1099;15.55335
2017-01;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;1418;8.70419
2017-01;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;2340;19.05227
2017-01;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;2358;14.82926
2017-01;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;1112;9.55819
2017-01;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;1414;8.79846
2017-01;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;2293;9.08479
2017-02;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;8422;35.15465
2017-02;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;2046;14.88866
2017-02;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;1148;18.57605
2017-02;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;4253;29.42642
2017-02;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;3042;28.61174
2017-02;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;616;9.90354
2017-02;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;4038;26.1715
2017-02;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;4284;34.61818
2017-02;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;2162;24.45148
2017-02;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;3130;20.491
2017-02;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;2659;19.28908
2017-02;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;2677;20.53387
2017-02;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;5718;34.27852
2017-03;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;3286;19.9854
2017-03;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;2999;21.64093
2017-03;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;8020;27.43944
2017-03;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;1624;25.99232
2017-03;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;4369;47.46334
2017-03;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;7535;42.73722
2017-03;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;4382;36.74017
2017-03;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;6181;38.27008
2017-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;5227;27.76774
2017-03;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;2850;24.48874
2017-04;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;1572;14.06082
2017-04;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;5102;53.35146
2017-04;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;5312;49.30846
2017-04;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;7942;55.36038
2017-04;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1129;17.79073
2017-04;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;6694;49.79173
2017-04;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;5136;43.3308
2017-04;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;3201;26.97396
2017-04;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;5208;33.63038
2017-05;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;11194;40.80933
2017-05;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;3792;50.21851
2017-05;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;4905;45.57703
2017-05;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1418;22.05288
2017-05;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;4018;55.33673
2017-05;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;10747;60.19717
2017-05;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;6078;38.99403
2017-05;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;6615;35.50534
2017-05;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;965;28.55875
2017-06;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;2196;19.31568
2017-06;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;12856;43.07589
2017-06;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;5737;60.80551
2017-06;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;9839;60.13324
2017-06;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;8521;33.79204
2017-06;Região de Saúde LVT;ACES Médio Tejo;39.478072,-8.5404429;7356;39.29907
2017-06;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;6459;45.5565
2017-06;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;4551;38.46024
2017-06;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;9004;42.15751
2017-06;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;10546;67.00127
2017-07;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;2886;9.5525
2017-07;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;3640;11.35477
2017-07;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;2448;12.98398
2017-07;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;1047;7.37272
2017-07;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;878;5.57567
2017-07;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;1616;10.25446
2017-07;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;1161;10.69553
2017-07;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1116;15.27303
2017-07;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;1650;17.58687
2017-07;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;2085;13.15457
2017-08;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;717;19.25866
2017-08;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;749;11.36916
2017-08;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;5055;16.53907
2017-08;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;4630;24.25481
2017-08;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;1784;14.97398
2017-08;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;2424;14.37041
2017-08;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;2465;18.137
2017-08;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;2124;12.55022
2017-08;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;2032;17.73743
2017-08;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;3789;24.17842
2017-08;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;2995;24.45896
2017-08;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;2083;22.86749
2017-08;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;2756;29.341
2017-08;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;3570;26.25579
2017-09;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;1254;10.86279
2017-09;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;5613;25.895
2017-09;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;1564;24.34999
2017-09;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;3824;27.89002
2017-09;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;3334;31.44393
2017-09;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;2375;31.04169
2017-09;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;3137;32.9898
2017-09;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;6852;37.95912
2017-09;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;4021;33.20671
2017-09;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;5484;34.85667
2017-09;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;7801;45.01702
2017-09;Região de Saúde do Algarve;ACES Algarve I - Algarve Central;37.0274264,-7.9395984;3510;20.48798
2017-10;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;5550;50.64331
2017-10;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;5217;55.20051
2017-10;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;1631;14.02769
2017-10;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;1306;19.51876
2017-10;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;4204;29.07331
2017-10;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;6437;33.10363
2017-10;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;4368;25.54535
2017-11;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;16695;67.15878
2017-11;Região de Saúde Norte;ACES Alto Trás-os-Montes - Alto Tâmega e Barroso;41.741781,-7.4731648;3729;48.17829
2017-11;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;6497;59.21436
2017-11;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;8204;59.67848
2017-11;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;6765;54.72858
2017-11;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;8532;53.90107
2017-11;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;8784;50.00569
2017-11;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;11431;65.5297
2017-11;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;9885;61.69642
2017-11;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;1573;41.05978
2017-11;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;1069;31.07558
2017-11;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;3932;31.97788
2017-11;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;7565;38.66401
2017-11;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;4855;30.59038
2017-11;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;5080;34.87813
2017-11;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;5030;46.93916
2017-11;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;4561;39.1267
2017-12;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;4889;53.1702
2017-12;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;9223;58.1013
2017-12;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;12340;70.51832
2017-12;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;2087;17.67745
2017-12;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;2569;39.63894
2017-12;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;9491;43.16838
2017-12;Região de Saúde do Centro;ACES Pinhal Interior Sul;39.7510898,-7.9203657;1155;33.49768
2017-12;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;6164;35.99416
2017-12;Região de Saúde LVT;ACES Oeste Sul;39.0917759,-9.2600341;6536;46.58921
2018-01;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;2595;13.31862
2018-01;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;1344;14.92173
2018-01;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;2040;15.78214
2018-01;Região de Saúde Norte;ACES Grande Porto III - Maia e Valongo;41.2333945,-8.6187474;2654;15.50234
2018-01;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;2135;13.62215
2018-01;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;3232;19.29552
2018-01;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;1151;9.46079
2018-01;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;1540;9.56462
2018-01;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;1079;8.89237
2018-01;Região de Saúde LVT;ACES Lisboa Central;38.7306317,-9.1510414;1626;10.05069
2018-01;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;1264;8.89577
2018-01;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;2353;9.7469
2018-01;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;1497;11.21432
2018-01;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;3568;11.60174
2018-01;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;688;11.35314
2018-02;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;5249;33.75997
2018-02;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;3878;24.58476
2018-02;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;8218;34.66633
2018-02;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;2899;27.70716
2018-02;Região de Saúde Norte;ACES Cávado III - Barcelos e Esposende;41.5317419,-8.6178922;4076;28.86277
2018-02;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1839;26.21525
2018-02;Região de Saúde Norte;ACES Tâmega II - Vale do Sousa Sul;41.1548155,-8.2163769;5519;32.65101
2018-02;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;4138;17.04915
2018-02;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;1935;15.82952
2018-02;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;6498;21.00533
2018-02;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;3996;19.28292
2018-03;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;3226;29.04736
2018-03;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;3733;36.31323
2018-03;Região de Saúde do Algarve;ACES Algarve II - Algarve Barlavento;37.1387554,-8.5445093;1484;13.09104
2018-03;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;1011;27.25067
2018-03;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;6820;36.22265
2018-03;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;5614;29.79356
2018-03;Região de Saúde LVT;ACES Oeste Norte;39.410844,-9.1396215;3840;28.30815
2018-03;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;5896;22.67605
2018-03;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;3356;21.18954
2018-03;Região de Saúde Norte;ACES Alto Ave - Guimarães, Vizela e Terras de Basto;41.4417064,-8.1722408;11458;47.9314
2018-03;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;5117;34.06791
2018-04;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;3240;27.88056
2018-04;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;3780;27.1026
2018-04;Região de Saúde Norte;ACES Alto Minho;41.7056054,-8.8252713;8262;41.5322
2018-04;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;4253;40.76879
2018-04;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;7944;54.78999
2018-04;Região de Saúde Norte;ACES Douro I - Marão e Douro Norte;41.2968711,-7.7483727;4287;46.67392
2018-04;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;5233;57.10388
2018-04;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;7102;57.5247
2018-05;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;2816;30.65868
2018-05;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;4607;40.92201
2018-05;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;13946;44.48627
2018-05;Região de Saúde do Centro;ACES Pinhal Litoral;39.7495331,-8.807683;8274;39.15204
2018-05;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;4139;33.79327
2018-05;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;5260;31.641
2018-05;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;8162;42.73746
2018-05;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;4627;31.7135
2018-05;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;5887;61.22725
2018-05;Região de Saúde Norte;ACES Grande Porto IV - Póvoa do Varzim e Vila do Conde;41.355519,-8.746653;8225;66.14395
2018-05;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;4290;48.43627
2018-05;Região de Saúde Norte;ACES Grande Porto VIII - Espinho/Gaia;41.0022421,-8.642018;8633;53.5413
2018-05;Região de Saúde Norte;ACES Matosinhos;41.1918541,-8.6590693;7406;48.73972
2018-05;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;10007;62.64947
2018-06;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;15649;49.69988
2018-06;Região de Saúde do Centro;ACES Dão Lafões;40.6565861,-7.9124712;11048;56.70003
2018-06;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;4428;37.55088
2018-06;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;13454;49.47597
2018-06;Região de Saúde LVT;ACES Arco Ribeirinho;38.6672076,-9.0543329;5037;35.64756
2018-06;Região de Saúde LVT;ACES Arrábida;38.5324373,-8.8627453;5899;35.24526
2018-06;Região de Saúde Norte;ACES Alto Trás-os-Montes - Nordeste;41.8069684,-6.7587977;5540;52.72675
2018-06;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;6539;67.57259
2018-06;Região de Saúde Norte;ACES Cávado I - Braga;41.5518714,-8.4126362;10126;68.85157
2018-06;Região de Saúde Norte;ACES Entre Douro e Vouga I - Feira e Arouca;40.9263169,-8.5478813;8579;64.22369
2018-06;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;5795;53.95215
2018-06;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;4765;53.5634
2018-07;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;1744;11.26324
2018-07;Região de Saúde do Alentejo;ACES São Mamede;39.2967086,-7.4284755;1490;14.204
2018-07;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;656;10.49432
2018-07;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;1092;9.22921
2018-07;Região de Saúde LVT;ACES Amadora;38.7573081,-9.23429;1128;9.09971
2018-07;Região de Saúde LVT;ACES Cascais;38.69904,-9.3818008;1228;9.58252
2018-07;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;1778;11.41573
2018-07;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;2270;9.02549
2018-07;Região de Saúde Norte;ACES Ave - Famalicão;41.3835805,-8.4157518;1425;14.67862
2018-07;Região de Saúde Norte;ACES Grande Porto II - Gondomar;41.1738444,-8.5612238;2322;14.87794
2018-07;Região de Saúde Norte;ACES Grande Porto VI - Porto Oriental;41.1694498,-8.6126428;1272;14.25849
2018-07;Região de Saúde Norte;ACES Grande Porto VII - Gaia;41.1278433,-8.580396;1670;13.74825
2018-08;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;3164;20.34727
2018-08;Região de Saúde do Algarve;ACES Algarve III - Algarve Sotavento;37.383008,-7.7293275;822;21.66008
2018-08;Região de Saúde do Centro;ACES Baixo Mondego;40.2150023,-8.4071805;5401;17.20886
2018-08;Região de Saúde do Centro;ACES Baixo Vouga;40.6405055,-8.6537539;6745;21.27559
2018-08;Região de Saúde do Centro;ACES Beira Interior Sul;39.8211367,-7.5036651;1077;17.16061
2018-08;Região de Saúde do Centro;ACES Cova da Beira;40.2677741,-7.4995083;671;9.99702
2018-08;Região de Saúde do Centro;ACES Guarda;40.5353285,-7.2724426;1848;15.57785
2018-08;Região de Saúde LVT;ACES Almada-Seixal;38.6678522,-9.1875777;6034;22.02431
2018-08;Região de Saúde LVT;ACES Estuário do Tejo;38.9528113,-8.9911154;2329;14.4282
2018-08;Região de Saúde LVT;ACES Lezíria;39.2371689,-8.6908895;3902;20.14143
2018-08;Região de Saúde LVT;ACES Loures-Odivelas;38.8012718,-9.1137868;4034;15.99524
2018-08;Região de Saúde LVT;ACES Sintra;38.7519209,-9.2753636;4356;16.22105
2018-08;Região de Saúde Norte;ACES Cávado II - Gerês e Cabreira;41.6298661,-8.3596897;2846;26.84652
2018-08;Região de Saúde Norte;ACES Douro II - Douro Sul;41.0953745,-7.8123805;1855;25.79613
2018-08;Região de Saúde Norte;ACES Entre Douro e Vouga II - Aveiro Norte;40.8472225,-8.4656674;2885;31.07162
2018-08;Região de Saúde Norte;ACES Grande Porto V - Porto Ocidental;41.1741353,-8.6691662;1837;22.28828
2018-08;Região de Saúde Norte;ACES Tâmega I - Baixo Tâmega;41.2719719,-8.0791631;4411;25.37245
2018-08;Região de Saúde Norte;ACES Tâmega III - Vale do Sousa Norte;41.2793583,-8.2787457;5425;33.45461
2018-09;Região de Saúde do Alentejo;ACES Alentejo Central;38.8442031,-7.5826619;4571;29.31444
2018-09;Região de Saúde do Alentejo;ACES Alentejo Litoral;38.3841359,-8.5132031;2085;22.35445
2018-09;Região de Saúde do Alentejo;ACES Baixo Alentejo;38.0153039,-7.8627308;2775;24.28034
2018-09;Região de Saúde do Centro;ACES Pinhal Interior Norte;40.1151262,-8.2473136;2681;22.52941
2018-09;Região de Saúde LVT;ACES Lisboa Norte;38.7396924,-9.168506;3217;21.68959
2018-09;Região de Saúde LVT;ACES Lisboa Ocidental e Oeiras;38.6914388,-9.3184304;4300;27.53057
